Neighbourhood ID,Neighbourhood Name,"Rate per 100,000 people",Case Count
138,Eglinton East,4074.464348,928
47,Don Valley Village,2195.852279,594
38,Lansing-Westgate,1534.273695,248
9,Edenbridge-Humber Valley,2813.002897,437
44,Flemingdon Park,4395.203575,964
59,Danforth East York,1414.43539,243
129,Agincourt North,2486.86154,724
99,Mount Pleasant East,947.8390462,159
137,Woburn,4552.678321,2435
102,Forest Hill North,2303.607684,295
111,Rockcliffe-Smythe,3838.892385,854
130,Milliken,2453.710673,652
55,Thorncliffe Park,5234.981997,1105
7,Willowridge-Martingrove-Richview,3227.116808,715
12,Markland Wood,1591.81353,168
60,Woodbine-Lumsden,1398.601399,110
10,Princess-Rosethorn,1728.350376,191
114,Lambton Baby Point,1477.77082,118
15,Kingsway South,1574.80315,146
133,Centennial Scarborough,2776.53046,371
75,Church-Yonge Corridor,1834.716018,575
26,Downsview-Roding-CFB,6273.53646,2199
61,Taylor-Massey,3086.144233,484
124,Kennedy Park,3661.741517,627
100,Yonge-Eglinton,1074.722857,127
120,Clairlea-Birchmount,3750.37059,1012
90,Junction Area,2150.911875,309
115,Mount Dennis,5009.931582,681
32,Englemount-Lawrence,5506.883605,1232
77,Waterfront Communities-The Island,1676.452293,1105
70,South Riverdale,1262.734969,352
74,North St. James Town,3357.507387,625
106,Humewood-Cedarvale,1670.727463,240
93,Dovercourt-Wallace Emerson-Junction,2110.580205,773
42,Banbury-Don Mills,1577.902148,437
97,Yonge-St.Clair,1093.550447,137
104,Mount Pleasant West,2144.446692,636
53,Henry Farm,3440.819182,541
8,Humber Heights-Westmount,4037.267081,442
89,Runnymede-Bloor West Village,784.5084409,79
85,South Parkdale,3478.420065,760
140,Guildwood,3105.777957,308
118,Tam O'Shanter-Sullivan,2728.995118,749
36,Newtonbrook West,4498.342495,1072
,Missing Address/Postal Code,,1535
84,Little Portugal,2442.316344,380
49,Bayview Woods-Steeles,2478.333587,326
82,Niagara,1523.412444,475
14,Islington-City Centre West,3081.997043,1355
123,Cliffcrest,2742.390963,437
117,L'Amoreaux,2818.630237,1240
122,Birchcliffe-Cliffside,2933.919519,654
81,Trinity-Bellwoods,1510.026576,250
11,Eringate-Centennial-West Deane,2087.368195,388
5,Elms-Old Rexdale,4737.732657,448
51,Willowdale East,995.3602728,502
87,High Park-Swansea,1742.946708,417
68,North Riverdale,1074.185968,128
71,Cabbagetown-South St. James Town,2485.217242,290
83,Dufferin Grove,2036.48706,240
30,Brookhaven-Amesbury,4702.370896,835
24,Black Creek,7121.497907,1548
20,Alderwood,2090.592334,252
4,Rexdale-Kipling,4473.359293,471
125,Ionview,2316.545708,316
110,Keelesdale-Eglinton West,3418.339664,378
2,Mount Olive-Silverstone-Jamestown,7307.155429,2408
52,Bayview Village,1224.527949,262
72,Regent Park,2332.685365,252
80,Palmerston-Little Italy,1178.938232,163
116,Steeles,3171.831215,781
16,Stonegate-Queensway,1552.832222,389
135,Morningside,4285.30507,748
98,Rosedale-Moore Park,960.6652966,201
136,West Hill,3059.287383,838
29,Maple Leaf,6834.141035,691
1,West Humber-Clairville,6361.071085,2119
101,Forest Hill South,969.0644801,104
112,Beechborough-Greenbrook,5458.415691,359
79,University,2247.929539,171
109,Caledonia-Fairbank,3706.68006,369
56,Leaside-Bennington,1241.977656,209
103,Lawrence Park South,1054.087885,160
73,Moss Park,2716.278162,557
31,Yorkdale-Glen Park,5714.67171,846
25,Glenfield-Jane Heights,6638.024335,2024
91,Weston-Pelham Park,3604.253019,400
66,Danforth,1593.213325,154
3,Thistletown-Beaumond Heights,7557.915058,783
88,High Park North,1227.326054,272
58,Old East York,1765.406693,163
21,Humber Summit,6427.190722,798
139,Scarborough Village,6015.307343,1006
19,Long Branch,1537.088457,155
46,Pleasant View,2294.853964,363
131,Rouge,4561.682725,2121
18,New Toronto,2494.983861,286
34,Bathurst Manor,4869.90487,773
67,Playter Estates-Danforth,1934.905177,151
54,O'Connor-Parkview,2109.772423,394
17,Mimico (includes Humber Bay Shores),2349.546579,798
64,Woodbine Corridor,1028.626106,129
126,Dorset Park,4987.401512,1247
121,Oakridge,3755.868545,520
6,Kingsview Village-The Westway,4727.272727,1040
57,Broadview North,1634.924776,188
127,Bendale,3895.193591,1167
107,Oakwood Village,2970.29703,630
45,Parkwoods-Donalda,2166.355409,754
69,Blake-Jones,1436.521289,111
119,Wexford/Maryvale,3119.962747,871
108,Briar Hill-Belgravia,3493.020972,498
27,York University Heights,6019.642663,1661
22,Humbermede,7114.827919,1106
41,Bridle Path-Sunnybrook-York Mills,1143.967192,106
128,Agincourt South-Malvern West,2512.943553,597
23,Pelmo Park-Humberlea,5502.704719,590
28,Rustic,3490.594508,347
86,Roncesvalles,1582.743422,237
78,Kensington-Chinatown,2134.299248,383
92,Corso Italia-Davenport,2830.255431,400
63,The Beaches,783.6045811,169
48,Hillcrest Village,1783.394355,302
43,Victoria Village,3746.430611,656
50,Newtonbrook East,1186.556501,191
62,East End-Danforth,1627.613302,348
132,Malvern,4544.001461,1990
40,St.Andrew-Windfields,1077.924994,192
96,Casa Loma,1896.425966,208
134,Highland Creek,4306.066912,538
65,Greenwood-Coxwell,1623.083859,234
39,Bedford Park-Nortown,2612.325701,607
13,Etobicoke West Mall,4000.675219,474
33,Clanton Park,2616.561438,431
105,Lawrence Park North,1088.519203,159
35,Westminster-Branson,5594.884677,1470
113,Weston,6436.193864,1158
95,Annex,1958.985783,598
94,Wychwood,1909.540735,274
37,Willowdale West,1487.954653,252
76,Bay Street Corridor,1298.600612,335